netcard_mini	netcard_mini_value	netcard	netcard_value	tate_pairing_mini	tate_pairing_mini_value	tate_pairing	tate_pairing_value	jpeg_mini	jpeg_mini_value	jpeg	jpeg_value	ariane_mini	ariane_mini_value	ariane	ariane_value	nova_mini	nova_mini_value	nova	nova_value
M3P130_M5P75_M3C50_M5C100	36.44	M3P130_M5P75_M3C50_M5C100	373.06	M3P100_M5P100_M3C50_M5C50	30.1	M3P100_M5P100_M3C50_M5C50	287.86	M3P100_M5P75_M3C50_M5C150	8.02	M3P100_M5P75_M3C50_M5C150	84.63	M3P85_M5P100_M3C50_M5C50	32.47	M3P85_M5P100_M3C50_M5C50	338.68	M3P100_M5P75_M3C50_M5C150	6.77	M3P85_M5P125_M3C50_M5C150	64.76
M3P100_M5P125_M3C50_M5C50	36.45	M3P100_M5P125_M3C50_M5C50	369.43	M3P100_M5P75_M3C50_M5C50	30.13	M3P100_M5P75_M3C50_M5C50	288.47	M3P100_M5P75_M3C50_M5C50	8.02	M3P100_M5P75_M3C50_M5C50	82.77	M3P100_M5P100_M3C50_M5C50	32.47	M3P100_M5P100_M3C50_M5C50	338.46	M3P100_M5P75_M3C100_M5C100	6.77	M3P130_M5P75_M3C50_M5C50	64.6
M3P100_M5P100_M3C50_M5C100	36.45	M3P100_M5P100_M3C50_M5C100	370.4	M3P130_M5P125_M3C50_M5C50	30.15	M3P130_M5P125_M3C50_M5C50	286.94	M3P100_M5P100_M3C50_M5C150	8.02	M3P100_M5P100_M3C50_M5C150	84.62	M3P100_M5P125_M3C50_M5C150	32.48	M3P100_M5P125_M3C50_M5C150	339.35	M3P85_M5P75_M3C100_M5C100	6.77	M3P100_M5P75_M3C50_M5C150	65.29
M3P130_M5P75_M3C50_M5C150	36.46	M3P130_M5P75_M3C50_M5C150	371.56	M3P100_M5P100_M3C50_M5C150	30.18	M3P100_M5P100_M3C50_M5C150	289.73	M3P100_M5P125_M3C50_M5C150	8.03	M3P100_M5P125_M3C50_M5C150	84.2	M3P130_M5P75_M3C50_M5C150	32.48	M3P130_M5P75_M3C50_M5C150	339.26	M3P100_M5P125_M3C50_M5C100	6.77	M3P130_M5P125_M3C100_M5C100	65.99
M3P85_M5P125_M3C50_M5C150	36.46	M3P85_M5P125_M3C50_M5C150	373.19	M3P100_M5P125_M3C50_M5C150	30.24	M3P100_M5P125_M3C50_M5C150	288.8	M3P85_M5P75_M3C50_M5C150	8.03	M3P85_M5P75_M3C50_M5C150	83.44	M3P130_M5P100_M3C50_M5C100	32.48	M3P130_M5P100_M3C50_M5C100	338.81	M3P100_M5P125_M3C100_M5C50	6.77	M3P130_M5P125_M3C50_M5C50	64.09
M3P130_M5P125_M3C50_M5C50	36.46	M3P130_M5P125_M3C50_M5C50	367.26	M3P130_M5P100_M3C50_M5C50	30.24	M3P130_M5P100_M3C50_M5C50	288.19	M3P130_M5P75_M3C50_M5C150	8.04	M3P130_M5P75_M3C50_M5C150	84.02	M3P130_M5P75_M3C50_M5C100	32.48	M3P130_M5P75_M3C50_M5C100	339.3	M3P130_M5P100_M3C50_M5C50	6.77	M3P85_M5P125_M3C50_M5C100	64.84
M3P85_M5P100_M3C50_M5C150	36.47	M3P85_M5P100_M3C50_M5C150	375.52	M3P130_M5P100_M3C50_M5C150	30.28	M3P130_M5P100_M3C50_M5C150	288.55	M3P85_M5P125_M3C50_M5C50	8.04	M3P85_M5P125_M3C50_M5C50	82.64	M3P100_M5P75_M3C50_M5C100	32.48	M3P100_M5P75_M3C50_M5C100	339.12	M3P85_M5P100_M3C50_M5C100	6.77	M3P100_M5P100_M3C50_M5C100	65.12
M3P85_M5P100_M3C50_M5C100	36.47	M3P85_M5P100_M3C50_M5C100	370.8	M3P130_M5P75_M3C50_M5C150	30.29	M3P130_M5P75_M3C50_M5C150	289.59	M3P100_M5P125_M3C50_M5C100	8.05	M3P100_M5P125_M3C50_M5C100	84.92	M3P100_M5P125_M3C50_M5C100	32.48	M3P100_M5P125_M3C50_M5C100	338.59	M3P130_M5P100_M3C50_M5C150	6.78	M3P100_M5P75_M3C50_M5C100	64.85
M3P130_M5P125_M3C50_M5C100	36.48	M3P130_M5P125_M3C50_M5C100	370.07	M3P85_M5P75_M3C50_M5C100	30.3	M3P85_M5P75_M3C50_M5C100	288.79	M3P130_M5P125_M3C50_M5C100	8.06	M3P130_M5P125_M3C50_M5C100	84.52	M3P100_M5P100_M3C50_M5C150	32.49	M3P100_M5P100_M3C50_M5C150	339.45	M3P100_M5P75_M3C50_M5C50	6.78	M3P100_M5P125_M3C50_M5C50	63.73
M3P100_M5P75_M3C50_M5C150	36.48	M3P100_M5P75_M3C50_M5C150	377.26	M3P100_M5P100_M3C50_M5C100	30.31	M3P100_M5P100_M3C50_M5C100	287.75	M3P130_M5P100_M3C50_M5C150	8.06	M3P130_M5P100_M3C50_M5C150	85.69	M3P85_M5P100_M3C50_M5C100	32.49	M3P85_M5P100_M3C50_M5C100	338.92	M3P100_M5P125_M3C50_M5C150	6.78	M3P100_M5P125_M3C50_M5C100	64.32
