Name,Type,Master,Height,Width
reconstruction/DF_top/FE_OFC31512_p1_MW_6,inst,INVx1_ASAP7_75t_R,0.27,0.162
reconstruction/DF_top/FE_OFC30407_DF_edge_counter_MR_1,inst,INVx1_ASAP7_75t_L,0.27,0.162
reconstruction/DF_top/FE_OFC28225_n_1,inst,INVx3_ASAP7_75t_SL,0.27,0.27
reconstruction/DF_top/FE_OFC28102_DF_mbAddrB_RAM_wr,inst,INVx1_ASAP7_75t_L,0.27,0.162
reconstruction/DF_top/FE_OFC16250_DF_edge_counter_MW_3,inst,INVx3_ASAP7_75t_SL,0.27,0.27
reconstruction/DF_top/FE_OFC13253_DF_edge_counter_MW_5,inst,INVx3_ASAP7_75t_SL,0.27,0.27
reconstruction/DF_top/FE_OFC11739_DF_edge_counter_MW_1,inst,INVx2_ASAP7_75t_SL,0.27,0.216
reconstruction/DF_top/FE_OFC4085_DF_edge_counter_MW_0,inst,INVx3_ASAP7_75t_SL,0.27,0.27
reconstruction/DF_top/DF_mbAddrA_RAM/FE_OFC32138_DF_mbAddrA_RF_dout_7,inst,INVxp67_ASAP7_75t_SL,0.27,0.162
reconstruction/DF_top/DF_mbAddrA_RAM/FE_OFC31656_DF_mbAddrA_RF_dout_1,inst,INVxp67_ASAP7_75t_SL,0.27,0.162
reconstruction/DF_top/DF_mbAddrA_RAM/FE_OFC31621_DF_mbAddrA_RF_dout_3,inst,INVx1_ASAP7_75t_R,0.27,0.162
reconstruction/DF_top/DF_mbAddrA_RAM/FE_OFC31613_DF_mbAddrA_RF_dout_26,inst,INVxp67_ASAP7_75t_SL,0.27,0.162
reconstruction/DF_top/DF_mbAddrA_RAM/FE_OFC31595_DF_mbAddrA_RF_dout_23,inst,INVx1_ASAP7_75t_R,0.27,0.162
reconstruction/DF_top/DF_mbAddrA_RAM/FE_OFC28069_DF_mbAddrA_RF_wr_addr_4,inst,INVx1_ASAP7_75t_L,0.27,0.162
reconstruction/DF_top/DF_mbAddrA_RAM/FE_OFC28041_DF_mbAddrA_RF_wr_addr_2,inst,INVx1_ASAP7_75t_L,0.27,0.162
reconstruction/DF_top/DF_mbAddrA_RAM/FE_OFC27954_DF_mbAddrA_RF_wr_addr_1,inst,INVx1_ASAP7_75t_L,0.27,0.162
reconstruction/DF_top/DF_mbAddrA_RAM/FE_OFC27635_n_579,inst,INVx1_ASAP7_75t_L,0.27,0.162
reconstruction/DF_top/DF_mbAddrA_RAM/FE_OFC27610_n_588,inst,INVxp33_ASAP7_75t_R,0.27,0.162
reconstruction/DF_top/DF_mbAddrA_RAM/FE_OFC27473_n_733,inst,INVx1_ASAP7_75t_L,0.27,0.162
reconstruction/DF_top/DF_mbAddrA_RAM/FE_OFC27453_n_764,inst,INVx1_ASAP7_75t_L,0.27,0.162
reconstruction/DF_top/DF_mbAddrA_RAM/FE_OFC27442_n_702,inst,INVxp67_ASAP7_75t_R,0.27,0.162
reconstruction/DF_top/DF_mbAddrA_RAM/FE_OFC27436_n_603,inst,INVx1_ASAP7_75t_L,0.27,0.162
reconstruction/DF_top/DF_mbAddrA_RAM/FE_OFC27322_n_729,inst,INVx1_ASAP7_75t_L,0.27,0.162
reconstruction/DF_top/DF_mbAddrA_RAM/FE_OFC27319_n_1150,inst,INVx1_ASAP7_75t_SL,0.27,0.162
reconstruction/DF_top/DF_mbAddrA_RAM/FE_OFC27318_n_669,inst,INVx1_ASAP7_75t_SL,0.27,0.162
reconstruction/DF_top/DF_mbAddrA_RAM/FE_OFC27317_n_1151,inst,INVx1_ASAP7_75t_L,0.27,0.162
reconstruction/DF_top/DF_mbAddrA_RAM/FE_OFC27316_n_623,inst,INVx1_ASAP7_75t_SL,0.27,0.162
