Name,Type,Master,X,Y
FE_DBTC2125_net_126015,inst,INVx1_ASAP7_75t_R,59.238,87.426
FE_DBTC2124_net_62302,inst,INVx2_ASAP7_75t_SL,44.442,74.466
FE_DBTC2123_FE_OFN126915_net_125980,inst,INVx1_ASAP7_75t_SL,57.348,100.926
FE_DBTC2122_net_62549,inst,INVxp67_ASAP7_75t_SL,59.562,94.446
FE_DBTC2121_FE_RN_9680_0,inst,INVxp67_ASAP7_75t_SL,8.208,112.806
FE_DBTC2120_FE_RN_11186_0,inst,INVxp67_ASAP7_75t_SL,43.632,113.886
FE_DBTC2119_net_53783,inst,INVxp67_ASAP7_75t_R,1.188,107.406
FE_DBTC2118_net_61881,inst,INVxp67_ASAP7_75t_SL,55.458,113.346
FE_DBTC2117_net_62248,inst,INVx1_ASAP7_75t_R,40.824,77.706
FE_DBTC2116_FE_OFN51761_net_125743,inst,INVxp67_ASAP7_75t_SL,46.818,84.186
FE_DBTC2115_FE_RN_133,inst,INVx2_ASAP7_75t_SL,52.272,93.906
FE_DBTC2114_net_62896,inst,INVx2_ASAP7_75t_SL,41.742,84.726
FE_DBTC2113_net_64601,inst,INVx1_ASAP7_75t_R,50.76,76.086
FE_DBTC2112_net_125882,inst,INVx1_ASAP7_75t_SL,57.402,93.366
FE_DBTC2111_net_64853,inst,INVxp67_ASAP7_75t_R,51.948,73.926
FE_DBTC2110_net_63355,inst,INVx1_ASAP7_75t_R,64.314,80.946
FE_DBTC2109_net_125828,inst,INVxp67_ASAP7_75t_SL,56.268,105.786
FE_DBTC2108_net_56921,inst,INVxp67_ASAP7_75t_R,27.054,103.626
FE_DBTC2107_net_52569,inst,INVxp33_ASAP7_75t_R,141.372,77.706
FE_DBTC2106_net_51229,inst,INVxp67_ASAP7_75t_R,30.402,51.786
FE_DBTC2105_net_61039,inst,INVx1_ASAP7_75t_SL,45.738,107.406
FE_DBTC2104_net_66292,inst,INVx2_ASAP7_75t_SL,54.27,100.926
FE_DBTC2103_FE_RN_7595_0,inst,INVxp67_ASAP7_75t_SL,30.564,58.806
FE_DBTC2102_net_68303,inst,INVxp67_ASAP7_75t_SL,75.708,59.346
FE_DBTC2101_FE_RN_84,inst,INVxp67_ASAP7_75t_SL,66.582,74.466
FE_DBTC2100_net_89526,inst,INVxp67_ASAP7_75t_SL,34.776,31.266
FE_DBTC2099_net_5287,inst,INVxp67_ASAP7_75t_SL,175.77,12.366
FE_DBTC2098_net_60286,inst,INVxp67_ASAP7_75t_SL,27.0,105.246
FE_DBTC2097_net_67000,inst,INVx1_ASAP7_75t_SL,55.242,98.766
